gemuese;Month;Seasonal
Lexel Greens;10;FALSE
Loganbeeren;10;FALSE
Heidelbeeren;10;FALSE
Artischocke;10;FALSE
Pfirsiche;10;FALSE
Fenchel;10;TRUE
Mark;10;TRUE
Okra;10;TRUE
Tomaten;10;TRUE
Cucurbita;10;TRUE
Kartoffeln;10;TRUE
Edel-Pflaume;10;FALSE
Brombeeren;10;FALSE
Nektarinen;10;FALSE
Chinesischer Sellerie;10;TRUE
Zuckermais;10;TRUE
Kohlrübe;10;TRUE
Knollensellerie;10;TRUE
Pastinake;10;TRUE
Rosenkohl;10;TRUE
Grünkohl;10;TRUE
Lauch;10;TRUE
Chicorée;10;TRUE
Zwetschgen;10;FALSE
Melonen;10;FALSE
Pflaumen;10;FALSE
Trauben;10;TRUE
Radicchio;10;TRUE
Endine;10;TRUE
Sojabohnen;10;TRUE
Nüsslisalat;10;TRUE
Topinambur Artischocke;10;TRUE
Holunderbeeren;10;TRUE
Japanische Rübe;10;FALSE
Preiselbeeren;10;FALSE
Apples;10;TRUE
Bananen;10;TRUE
Brokkoli;10;TRUE
Kohl;10;TRUE
Karotten;10;TRUE
Zitrusfrüchte;10;TRUE
Mangos;10;TRUE
Orangen;10;TRUE
Birnen;10;TRUE
Ananas;10;TRUE
Spinat;10;TRUE
Schalotten;11;FALSE
Purpurroter keimender Brokkoli;11;FALSE
Brokkoli (weiß und lila);11;FALSE
Blumenkohl;11;TRUE
Japanischer Senfspinat (Komatsuma);11;TRUE
Mangold;11;FALSE
Früher Rhabarber;11;FALSE
Kohlrabi;11;TRUE
Frühlingsgrün;11;FALSE
Claytonia;11;FALSE
Rhabarber (gezwungen);11;FALSE
Rettiche und Radieschen;11;FALSE
Brunnenkresse;11;FALSE
Salat Zwiebeln;11;TRUE
Broccoli (Kalabrese);11;TRUE
Spargel;11;FALSE
Rhabarber;11;FALSE
Karotten;11;FALSE
Frühkartoffeln;11;FALSE
Stachelbeere;11;FALSE
Barbarakraut;11;FALSE
Rakete;11;FALSE
Erdbeeren;11;FALSE
Chopsuey-Grüns;11;FALSE
Salat;11;FALSE
Pilze;11;FALSE
Sellerie;11;TRUE
Zwiebel;11;TRUE
Rüben;11;TRUE
Squash;11;TRUE
Kaiserschoten;11;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);11;FALSE
Texel-Grüns;11;FALSE
Tomaten (drinnen);11;FALSE
Erbsen (Schale);11;FALSE
Erbsen (Zuckerschnaps);11;FALSE
Rote Johannisbeeren/Ribiseln;11;FALSE
Dicke Bohnen;11;FALSE
Kirschen;11;FALSE
Zucchini;11;FALSE
Aubergine;11;FALSE
Gurke;11;FALSE
Erbsen;11;FALSE
Paprika;11;FALSE
Himbeeren;11;FALSE
Französische Bohnen;11;FALSE
Stangenbohnen;11;FALSE
Rote Beete;11;TRUE
Schwarze Johannisbeeren/Ribiseln;11;FALSE
Kartoffeln (neu);11;FALSE
Lexel Greens;11;FALSE
Loganbeeren;11;FALSE
Heidelbeeren;11;FALSE
Artischocke;11;FALSE
Pfirsiche;11;FALSE
Fenchel;11;FALSE
Mark;11;FALSE
Okra;11;FALSE
Tomaten;11;FALSE
Cucurbita;11;TRUE
Kartoffeln;11;TRUE
Edel-Pflaume;11;FALSE
Brombeeren;11;FALSE
Nektarinen;11;FALSE
Chinesischer Sellerie;11;FALSE
Zuckermais;11;FALSE
Kohlrübe;11;TRUE
Knollensellerie;11;TRUE
Pastinake;11;TRUE
Rosenkohl;11;TRUE
Grünkohl;11;TRUE
Lauch;11;TRUE
Chicorée;11;TRUE
Zwetschgen;11;FALSE
Melonen;11;FALSE
Pflaumen;11;FALSE
Trauben;11;FALSE
Radicchio;11;FALSE
Endine;11;TRUE
Sojabohnen;11;TRUE
Nüsslisalat;11;TRUE
Topinambur Artischocke;11;TRUE
Holunderbeeren;11;FALSE
Japanische Rübe;11;TRUE
Preiselbeeren;11;TRUE
Apples;11;TRUE
Bananen;11;TRUE
Brokkoli;11;TRUE
Kohl;11;TRUE
Karotten;11;TRUE
Zitrusfrüchte;11;TRUE
Mangos;11;TRUE
Orangen;11;TRUE
Birnen;11;TRUE
Ananas;11;TRUE
Spinat;11;TRUE
Schalotten;12;FALSE
Purpurroter keimender Brokkoli;12;FALSE
Brokkoli (weiß und lila);12;FALSE
Blumenkohl;12;TRUE
Japanischer Senfspinat (Komatsuma);12;TRUE
Mangold;12;FALSE
Früher Rhabarber;12;FALSE
Kohlrabi;12;FALSE
Frühlingsgrün;12;TRUE
Claytonia;12;FALSE
Rhabarber (gezwungen);12;FALSE
Rettiche und Radieschen;12;FALSE
Brunnenkresse;12;FALSE
Salat Zwiebeln;12;FALSE
Broccoli (Kalabrese);12;FALSE
Spargel;12;FALSE
Rhabarber;12;FALSE
Karotten;12;FALSE
Frühkartoffeln;12;FALSE
Stachelbeere;12;FALSE
Barbarakraut;12;FALSE
Rakete;12;FALSE
Erdbeeren;12;FALSE
Chopsuey-Grüns;12;FALSE
Salat;12;FALSE
Pilze;12;FALSE
Sellerie;12;TRUE
Zwiebel;12;TRUE
Rüben;12;TRUE
Squash;12;TRUE
Kaiserschoten;12;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);12;FALSE
Texel-Grüns;12;FALSE
Tomaten (drinnen);12;FALSE
Erbsen (Schale);12;FALSE
Erbsen (Zuckerschnaps);12;FALSE
Rote Johannisbeeren/Ribiseln;12;FALSE
Dicke Bohnen;12;FALSE
Kirschen;12;FALSE
Zucchini;12;FALSE
Aubergine;12;FALSE
Gurke;12;FALSE
Erbsen;12;FALSE
Paprika;12;FALSE
Himbeeren;12;FALSE
Französische Bohnen;12;FALSE
Stangenbohnen;12;FALSE
Rote Beete;12;TRUE
Schwarze Johannisbeeren/Ribiseln;12;FALSE
Kartoffeln (neu);12;FALSE
Lexel Greens;12;FALSE
Loganbeeren;12;FALSE
Heidelbeeren;12;FALSE
Artischocke;12;FALSE
Pfirsiche;12;FALSE
Fenchel;12;FALSE
Mark;12;FALSE
Okra;12;FALSE
Tomaten;12;FALSE
Cucurbita;12;FALSE
Kartoffeln;12;TRUE
Edel-Pflaume;12;FALSE
Brombeeren;12;FALSE
Nektarinen;12;FALSE
Chinesischer Sellerie;12;FALSE
Zuckermais;12;FALSE
Kohlrübe;12;TRUE
Knollensellerie;12;TRUE
Pastinake;12;TRUE
Rosenkohl;12;TRUE
Grünkohl;12;TRUE
Lauch;12;TRUE
Chicorée;12;TRUE
Zwetschgen;12;FALSE
Melonen;12;FALSE
Pflaumen;12;FALSE
Trauben;12;FALSE
Radicchio;12;FALSE
Endine;12;FALSE
Sojabohnen;12;FALSE
Nüsslisalat;12;TRUE
Topinambur Artischocke;12;TRUE
Holunderbeeren;12;FALSE
Japanische Rübe;12;TRUE
Preiselbeeren;12;FALSE
Apples;12;TRUE
Bananen;12;TRUE
Brokkoli;12;TRUE
Kohl;12;TRUE
Karotten;12;TRUE
Zitrusfrüchte;12;TRUE
Mangos;12;TRUE
Orangen;12;TRUE
Birnen;12;TRUE
Ananas;12;TRUE
Spinat;12;TRUE
